1407, 55, 23, 515
1366, 573, 15, 46
1908, 27, 48, 17
1980, 2, 9, 9
1934, 15, 42, 9
1957, 0, 41, 2
1946, 17, 2, 35
1922, 0, 69, 9
1883, 21, 68, 28
983, 513, 189, 315
1564, 82, 17, 337
1326, 113, 327, 234
1385, 562, 14, 39
1951, 15, 20, 14
1990, 0, 10, 0
1966, 8, 21, 5
1972, 2, 23, 3
1955, 15, 21, 9
1973, 0, 17, 10
1542, 149, 202, 107
1425, 130, 79, 366
1664, 91, 8, 237
1592, 312, 20, 76
1623, 361, 9, 7
1981, 4, 13, 2
1992, 2, 2, 4
1982, 7, 5, 6
1750, 230, 10, 10
1851, 31, 114, 4
1299, 206, 126, 369
1823, 117, 1, 59
1902, 9, 78, 11
1897, 32, 6, 65
1887, 25, 67, 21
1835, 7, 142, 16
1368, 254, 183, 195
1190, 100, 275, 435
1381, 112, 10, 497
1718, 225, 13, 44
1931, 35, 8, 26
1923, 23, 36, 18
1945, 8, 41, 6
1919, 0, 66, 15
1356, 316, 103, 225
1425, 151, 86, 338
1345, 143, 243, 269
1749, 231, 5, 15
1942, 23, 21, 14
1951, 24, 14, 11
1959, 20, 18, 3
1885, 1, 93, 21
468, 1043, 31, 458
1555, 118, 3, 324
1429, 520, 12, 39
1822, 162, 1, 15
1972, 19, 2, 7
1983, 3, 3, 11
1889, 10, 76, 25
1887, 9, 83, 21
1866, 29, 63, 42
1880, 14, 66, 40
1804, 1, 167, 28
867, 455, 204, 474
1334, 82, 8, 576
1596, 345, 1, 58
1934, 16, 32, 18
1922, 24, 46, 8
1536, 133, 173, 158
1168, 168, 197, 467
1490, 424, 5, 81
1950, 19, 16, 15
1947, 9, 37, 7
1787, 46, 107, 60
1159, 327, 123, 391
1494, 383, 10, 113
1667, 309, 10, 14
1964, 17, 4, 15
1812, 14, 133, 41
1839, 49, 41, 71
1834, 22, 105, 39
1200, 154, 369, 277
1283, 302, 13, 402
1863, 45, 61, 31
1882, 9, 79, 30
1321, 137, 341, 201
1323, 401, 138, 138
1864, 92, 16, 28
1614, 34, 278, 74
1681, 42, 185, 92
1971, 16, 0, 13
1829, 12, 131, 28
1813, 45, 75, 67
1282, 52, 433, 233
1326, 384, 22, 268
1615, 99, 152, 134
1185, 401, 117, 297
1821, 39, 39, 101
1219, 360, 119, 302
1898, 3, 60, 39
1444, 241, 211, 104
944, 484, 203, 369
1431, 40, 60, 469
1454, 246, 11, 289
1684, 72, 73, 171
1358, 36, 461, 145
1503, 42, 320, 135
1479, 50, 113, 358
1158, 112, 567, 163
741, 520, 532, 207
1915, 18, 53, 14
1881, 58, 5, 56
1943, 7, 46, 4
1893, 55, 4, 48
1945, 3, 48, 4
1929, 27, 8, 36
1918, 0, 72, 10
1856, 5, 132, 7
1432, 417, 126, 25
1770, 131, 83, 16
1952, 22, 11, 15
1910, 6, 82, 2
1865, 109, 2, 24
1894, 5, 96, 5
1922, 6, 45, 27
1908, 23, 43, 26
1331, 371, 116, 182
1396, 119, 169, 316
1383, 35, 269, 313
1640, 214, 28, 118
1928, 53, 3, 16
1894, 81, 18, 7
1976, 9, 13, 2
1802, 179, 2, 17
1952, 16, 21, 11
1964, 10, 18, 8
1800, 42, 110, 48
1264, 280, 249, 207
1487, 129, 11, 373
1596, 249, 27, 128
1920, 62, 11, 7
1959, 27, 6, 8
1969, 23, 6, 2
1980, 9, 6, 5
1986, 6, 1, 7
1979, 0, 1, 20
1626, 27, 268, 79
1889, 21, 64, 26
1947, 22, 5, 26
1873, 44, 67, 16
1909, 0, 90, 1
1909, 3, 75, 13
1761, 34, 167, 38
1826, 87, 66, 21
1932, 36, 8, 24
1901, 27, 56, 16
1883, 36, 53, 28
1887, 17, 63, 33
1396, 236, 162, 206
1495, 102, 26, 377
1343, 189, 215, 253
1766, 203, 4, 27
1940, 30, 7, 23
1962, 17, 11, 10
1956, 8, 29, 7
1783, 64, 108, 45
1227, 292, 244, 237
1635, 119, 11, 235
1708, 272, 4, 16
